No,Nama,LLDikti
1,Akademi Administrasi Rumah Sakit Mataram,8.0
2,Akademi Akuntansi (Aktan) Boekittinggi,10.0
3,Akademi Akuntansi Bandung,4.0
4,Akademi Akuntansi Bina Insani,4.0
5,Akademi Akuntansi Borobudur,3.0
6,Akademi Akuntansi Dan Komputer Stephen Jambi,10.0
7,Akademi Akuntansi Dan Manajemen Mitra Lampung,2.0
8,Akademi Akuntansi Dan Manajemen Pembangunan,10.0
9,Akademi Akuntansi Denpasar,8.0
10,Akademi Akuntansi Effendi Harahap,6.0
11,Akademi Akuntansi Indonesia Padang,10.0
12,Akademi Akuntansi Jayabaya,3.0
13,Akademi Akuntansi Keuangan Dan Perbankan Indonesia,4.0
14,Akademi Akuntansi Lampung,2.0
15,Akademi Akuntansi Muhammadiyah Klaten,6.0
16,Akademi Akuntansi Permata Harapan Batam,10.0
17,Akademi Akuntansi Pgri Jember,7.0
18,Akademi Akuntansi Riau,10.0
19,Akademi Akuntansi Yai Jakarta,3.0
20,Akademi Akuntansi Ykpn,5.0
21,Akademi Akuntansi Ypk Medan,1.0
22,Akademi Akupunktur Surabaya,
23,Akademi Analis Farmasi Al-Islam,
24,Akademi Analis Farmasi Dan Makanan Banda Aceh,
25,Akademi Analis Farmasi Dan Makanan Putra Indonesia,
26,Akademi Analis Farmasi Dan Makanan Sunan Giri Ponorogo,7.0
27,Akademi Analis Kesehatan 17 Agustus 1945 Semarang,
28,Akademi Analis Kesehatan An Nasher,
29,Akademi Analis Kesehatan Delima Husada Gresik,
30,Akademi Analis Kesehatan Harapan Bangsa,2.0
31,Akademi Analis Kesehatan Malang,
32,Akademi Analis Kesehatan Manggala Yogyakarta,5.0
33,Akademi Analis Kesehatan Muhammadiyah Makassar,
34,Akademi Analis Kesehatan Pekalongan,
35,Akademi Analis Kesehatan Pekanbaru,
36,Akademi Analis Kesehatan Putra Jaya Batam,
37,Akademi Analis Kesehatan Widya Dharma,
38,Akademi Angkatan Laut Surabaya,
39,Akademi Angkatan Udara (Aau),
40,Akademi Audiologi Indonesia,
41,Akademi Bahasa Asing Balikpapan,11.0
42,Akademi Bahasa Asing Bina Insan Indonesia,2.0
43,Akademi Bahasa Asing Colorado Samarinda,11.0
44,Akademi Bahasa Asing Dian Cipta Cendikia,2.0
45,Akademi Bahasa Asing Harapan Bangsa,6.0
46,Akademi Bahasa Asing Internasional Bandung,4.0
47,Akademi Bahasa Asing Permata Harapan,10.0
48,Akademi Bahasa Asing Permata Hati Tarakan,11.0
49,Akademi Bahasa Asing Persada Bunda,10.0
50,Akademi Bahasa Asing Sinema Yogyakarta,5.0
51,Akademi Bahasa Asing St Pignatelli,6.0
52,Akademi Bahasa Asing Umi Makassar,9.0
53,Akademi Bahasa Asing Widya Dharma,11.0
54,Akademi Bakti Kemanusiaan Palang Merah Indonesia,
55,Akademi Enterpreneurship Terang Bangsa,6.0
56,Akademi Farmasi Yarsi Pontianak,
57,Akademi Farmasi Al-Ishlah Cilegon,
58,Akademi Farmasi Bhumi Husada,
59,Akademi Farmasi Bina Farmasi,
60,Akademi Farmasi Bumi Siliwangi,
61,Akademi Farmasi Dwi Farma,
62,Akademi Farmasi Imam Bonjol,
63,Akademi Farmasi Indah Deli Serdang,
64,Akademi Farmasi Indonesia Yogyakarta,
65,Akademi Farmasi Institut Kejuruan Ilmu Farmasi,3.0
66,Akademi Farmasi Isfi Banjarmasin,11.0
67,Akademi Farmasi Jember,
68,Akademi Farmasi Kaltara Tarakan,
69,Akademi Farmasi Kebangsaan Makassar,
70,Akademi Farmasi Kusuma Husada Purwokerto,
71,Akademi Farmasi Mahadhika,
72,Akademi Farmasi Mitra Sehat Mandiri Sidoarjo,
73,Akademi Farmasi Muhammadiyah Cirebon,4.0
74,Akademi Farmasi Muhammadiyah Kabupaten Kuningan,
75,Akademi Farmasi Nusaputera,
76,Akademi Farmasi Prayoga Padang,
77,Akademi Farmasi Putra Indonesia Malang,
78,Akademi Farmasi Ranah Minang,
79,Akademi Farmasi Sandi Karsa,9.0
